label	color	shape	title	exp
YGL081W	#76D7C4	circle	Type: gene<br>FC: 1.59<br>Function: Putative protein of unknown function<br>	UP
KDX1	#76D7C4	circle	Type: gene<br>FC: 1.82<br>Function: Protein kinase<br>	UP
PIR3	#76D7C4	circle	Type: gene<br>FC: 2.69<br>Function: O-glycosylated covalently-bound cell wall protein<br>	UP
SNO1	#76D7C4	circle	Type: gene<br>FC: 2.01<br>Function: Protein of unconfirmed function<br>	UP
GPH1	#76D7C4	circle	Type: gene<br>FC: 3.18<br>Function: Glycogen phosphorylase required for the mobilization of glycogen<br>	UP
YDR018C	#76D7C4	circle	Type: gene<br>FC: 2.13<br>Function: Probable membrane protein with three predicted transmembrane domains<br>	UP
YMR090W	#76D7C4	circle	Type: gene<br>FC: 1.88<br>Function: Putative protein of unknown function<br>	UP
HXT14	#76D7C4	circle	Type: gene<br>FC: 3.19<br>Function: Protein with similarity to hexose transporter family members<br>	UP
PHM8	#76D7C4	circle	Type: gene<br>FC: 3.87<br>Function: Lysophosphatidic acid (LPA) phosphatase, nucleotidase<br>	UP
YBR285W	#76D7C4	circle	Type: gene<br>FC: 2.23<br>Function: Putative protein of unknown function<br>	UP
PRB1	#76D7C4	circle	Type: gene<br>FC: 1.62<br>Function: Vacuolar proteinase B (yscB) with H3 N-terminal endopeptidase activity<br>	UP
YBR284W	#76D7C4	circle	Type: gene<br>FC: 1.76<br>Function: Putative metallo-dependent hydrolase superfamily protein<br>	UP
PGM2	#76D7C4	circle	Type: gene<br>FC: 2.45<br>Function: Phosphoglucomutase<br>	UP
HXT13	#76D7C4	circle	Type: gene<br>FC: 1.7<br>Function: Putative transmembrane polyol transporter<br>	UP
SPS19	#76D7C4	circle	Type: gene<br>FC: 2.01<br>Function: Peroxisomal 2,4-dienoyl-CoA reductase<br>	UP
SPI1	#76D7C4	circle	Type: gene<br>FC: 2.59<br>Function: GPI-anchored cell wall protein involved in weak acid resistance<br>	UP
YLR312C	#76D7C4	circle	Type: gene<br>FC: 2.54<br>Function: Autophagy receptor with a role in degradation of the ER and nucleus<br>	UP
SUE1	#76D7C4	circle	Type: gene<br>FC: 2.99<br>Function: Protein required for degradation of unstable forms of cytochrome c<br>	UP
KTR2	#76D7C4	circle	Type: gene<br>FC: 1.69<br>Function: Mannosyltransferase involved in N-linked protein glycosylation<br>	UP
STF1	#76D7C4	circle	Type: gene<br>FC: 2.31<br>Function: Protein involved in regulation of the mitochondrial F1F0-ATP synthase<br>	UP
SPR28	#76D7C4	circle	Type: gene<br>FC: 4.17<br>Function: Sporulation-specific homolog of the CDC3/10/11/12 family of genes<br>	UP
AHA1	#76D7C4	circle	Type: gene<br>FC: 2.02<br>Function: Co-chaperone that binds Hsp82p and activates its ATPase activity<br>	UP
HED1	#76D7C4	circle	Type: gene<br>FC: 2.77<br>Function: Meiosis-specific protein<br>	UP
HBT1	#76D7C4	circle	Type: gene<br>FC: 1.99<br>Function: Shmoo tip protein, substrate of Hub1p ubiquitin-like protein<br>	UP
FMP45	#76D7C4	circle	Type: gene<br>FC: 2.14<br>Function: Integral membrane protein localized to mitochondria<br>	UP
SPO23	#76D7C4	circle	Type: gene<br>FC: 2.07<br>Function: Protein of unknown function<br>	UP
YCL001W-A	#76D7C4	circle	Type: gene<br>FC: 1.47<br>Function: Putative protein of unknown function<br>	UP
PHO92	#76D7C4	circle	Type: gene<br>FC: 3.22<br>Function: Posttranscriptional regulator of phosphate and glucose metabolism<br>	UP
YEL059W	#76D7C4	circle	Type: gene<br>FC: 3.24<br>Function: Putative protein of unknown function<br>	UP
HXT11	#76D7C4	circle	Type: gene<br>FC: 2.13<br>Function: Hexose transporter<br>	UP
CRF1	#76D7C4	circle	Type: gene<br>FC: 1.56<br>Function: Transcriptional corepressor<br>	UP
LDS2	#76D7C4	circle	Type: gene<br>FC: 2.92<br>Function: Protein Involved in spore wall assembly<br>	UP
YMR244W	#76D7C4	circle	Type: gene<br>FC: 2.09<br>Function: Putative protein of unknown function<br>	UP
GRE1	#76D7C4	circle	Type: gene<br>FC: 2.05<br>Function: Hydrophilin essential in desiccation-rehydration process<br>	UP
PEX18	#76D7C4	circle	Type: gene<br>FC: 3.03<br>Function: Peroxin<br>	UP
RTC2	#76D7C4	circle	Type: gene<br>FC: 1.94<br>Function: Putative vacuolar membrane transporter for cationic amino acids<br>	UP
YOL013W-A	#76D7C4	circle	Type: gene<br>FC: 2.03<br>Function: Putative protein of unknown function<br>	UP
YSW1	#76D7C4	circle	Type: gene<br>FC: 1.31<br>Function: Protein required for normal prospore membrane formation<br>	UP
TDH1	#76D7C4	circle	Type: gene<br>FC: 2.78<br>Function: Glyceraldehyde-3-phosphate dehydrogenase (GAPDH), isozyme 1<br>	UP
GYP7	#76D7C4	circle	Type: gene<br>FC: 1.29<br>Function: GTPase-activating protein for yeast Rab family members<br>	UP
PUN1	#76D7C4	circle	Type: gene<br>FC: 1.14<br>Function: Plasma membrane protein with a role in cell wall integrity<br>	UP
MEI5	#76D7C4	circle	Type: gene<br>FC: 4.61<br>Function: Meiosis-specific protein involved in meiotic recombination<br>	UP
MLS1	#76D7C4	circle	Type: gene<br>FC: 2.06<br>Function: Malate synthase, enzyme of the glyoxylate cycle<br>	UP
MIP6	#76D7C4	circle	Type: gene<br>FC: 1.46<br>Function: Putative RNA-binding protein<br>	UP
YIL014C-A	#76D7C4	circle	Type: gene<br>FC: 1.7<br>Function: Putative protein of unknown function<br>	UP
SPO13	#76D7C4	circle	Type: gene<br>FC: 1.71<br>Function: Meiotic regulator<br>	UP
YOL162W	#76D7C4	circle	Type: gene<br>FC: 1.68<br>Function: Putative protein of unknown function<br>	UP
YOL163W	#76D7C4	circle	Type: gene<br>FC: 1.46<br>Function: Putative protein of unknown function<br>	UP
YOL160W	#76D7C4	circle	Type: gene<br>FC: 1.44<br>Function: Putative protein of unknown function<br>	UP
YOR381W-A	#76D7C4	circle	Type: gene<br>FC: 0.9<br>Function: Putative protein of unknown function<br>	UP
FMP33	#76D7C4	circle	Type: gene<br>FC: 2.76<br>Function: Putative protein of unknown function<br>	UP
THI12	#76D7C4	circle	Type: gene<br>FC: 1.94<br>Function: Protein involved in synthesis of the thiamine precursor HMP<br>	UP
SAE3	#76D7C4	circle	Type: gene<br>FC: 3.86<br>Function: Meiosis-specific protein involved in meiotic recombination<br>	UP
CDA1	#76D7C4	circle	Type: gene<br>FC: 2.78<br>Function: Chitin deacetylase<br>	UP
ARG1	#76D7C4	circle	Type: gene<br>FC: 2.46<br>Function: Arginosuccinate synthetase<br>	UP
PAU2	#76D7C4	circle	Type: gene<br>FC: 1.87<br>Function: Member of the seripauperin multigene family<br>	UP
TSL1	#76D7C4	circle	Type: gene<br>FC: 1.99<br>Function: Large subunit of trehalose 6-phosphate synthase/phosphatase complex<br>	UP
YJL160C	#76D7C4	circle	Type: gene<br>FC: 1.56<br>Function: Putative protein of unknown function<br>	UP
GPX1	#76D7C4	circle	Type: gene<br>FC: 1.56<br>Function: Phospholipid hydroperoxide glutathione peroxidase<br>	UP
DMC1	#76D7C4	circle	Type: gene<br>FC: 2.09<br>Function: Meiosis-specific recombinase required for double-strand break repair<br>	UP
SPO19	#76D7C4	circle	Type: gene<br>FC: 1.78<br>Function: Meiosis-specific prospore protein<br>	UP
YBR085C-A	#76D7C4	circle	Type: gene<br>FC: 1.91<br>Function: Protein of unknown function<br>	UP
PNC1	#76D7C4	circle	Type: gene<br>FC: 2.14<br>Function: Nicotinamidase that converts nicotinamide to nicotinic acid<br>	UP
YBR056W-A	#76D7C4	circle	Type: gene<br>FC: 1.39<br>Function: Putative membrane protein upregulated in toxic manganese levels<br>	UP
RRT5	#76D7C4	circle	Type: gene<br>FC: 1.68<br>Function: Putative protein of unknown function<br>	UP
YET2	#76D7C4	circle	Type: gene<br>FC: 1.69<br>Function: Protein of unknown function that may interact with ribosomes<br>	UP
YJL045W	#76D7C4	circle	Type: gene<br>FC: 3.39<br>Function: Minor succinate dehydrogenase isozyme<br>	UP
LEE1	#76D7C4	circle	Type: gene<br>FC: 2.94<br>Function: Zinc-finger protein of unknown function<br>	UP
YJL043W	#76D7C4	circle	Type: gene<br>FC: 1.3<br>Function: Putative protein of unknown function<br>	UP
SSE2	#76D7C4	circle	Type: gene<br>FC: 2.07<br>Function: Member of Hsp110 subclass of the heat shock protein 70 (HSP70) family<br>	UP
YPS6	#76D7C4	circle	Type: gene<br>FC: 2.06<br>Function: Putative GPI-anchored aspartic protease<br>	UP
GND2	#76D7C4	circle	Type: gene<br>FC: 3.1<br>Function: 6-phosphogluconate dehydrogenase (decarboxylating)<br>	UP
ENO1	#76D7C4	circle	Type: gene<br>FC: 1.58<br>Function: Enolase I, a phosphopyruvate hydratase<br>	UP
YER175W-A	#76D7C4	circle	Type: gene<br>FC: 1.79<br>Function: Putative protein of unknown function<br>	UP
CYC7	#76D7C4	circle	Type: gene<br>FC: 2.59<br>Function: Cytochrome c isoform 2, expressed under hypoxic conditions<br>	UP
PES4	#76D7C4	circle	Type: gene<br>FC: 3.2<br>Function: Poly(A) binding protein, suppressor of DNA polymerase epsilon mutation<br>	UP
UTR5	#76D7C4	circle	Type: gene<br>FC: 3.49<br>Function: Protein of unknown function<br>	UP
IME4	#76D7C4	circle	Type: gene<br>FC: 1.19<br>Function: mRNA N6-adenosine methyltransferase<br>	UP
YNL277W-A	#76D7C4	circle	Type: gene<br>FC: 1.9<br>Function: Putative protein of unknown function<br>	UP
YKR015C	#76D7C4	circle	Type: gene<br>FC: 2.26<br>Function: Putative protein of unknown function<br>	UP
BOP2	#76D7C4	circle	Type: gene<br>FC: 2.21<br>Function: Protein of unknown function<br>	UP
YKR011C	#76D7C4	circle	Type: gene<br>FC: 0.99<br>Function: Protein of unknown function<br>	UP
MAM1	#76D7C4	circle	Type: gene<br>FC: 2.52<br>Function: Monopolin<br>	UP
DIA3	#76D7C4	circle	Type: gene<br>FC: 2.05<br>Function: Protein of unknown function<br>	UP
SSA4	#76D7C4	circle	Type: gene<br>FC: 4.77<br>Function: Heat shock protein that is highly induced upon stress<br>	UP
DAL1	#76D7C4	circle	Type: gene<br>FC: 2.88<br>Function: Allantoinase<br>	UP
DAL4	#76D7C4	circle	Type: gene<br>FC: 1.89<br>Function: Allantoin permease<br>	UP
PHM7	#76D7C4	circle	Type: gene<br>FC: 1.84<br>Function: Protein of unknown function<br>	UP
YJL047C-A	#76D7C4	circle	Type: gene<br>FC: 1.37<br>Function: Putative protein of unknown function<br>	UP
YPR145C-A	#76D7C4	circle	Type: gene<br>FC: 1.45<br>Function: Putative protein of unknown function<br>	UP
MTH1	#76D7C4	circle	Type: gene<br>FC: 1.32<br>Function: Negative regulator of the glucose-sensing signal transduction pathway<br>	UP
IRC18	#76D7C4	circle	Type: gene<br>FC: 3.03<br>Function: Protein involved in outer spore wall assembly<br>	UP
LOH1	#76D7C4	circle	Type: gene<br>FC: 2.96<br>Function: Protein involved in outer spore wall assembly<br>	UP
SOL4	#76D7C4	circle	Type: gene<br>FC: 3.94<br>Function: 6-phosphogluconolactonase<br>	UP
GPM2	#76D7C4	circle	Type: gene<br>FC: 2.98<br>Function: Nonfunctional homolog of Gpm1p phosphoglycerate mutase<br>	UP
ARO10	#76D7C4	circle	Type: gene<br>FC: 1.92<br>Function: Phenylpyruvate decarboxylase<br>	UP
Q0255	#76D7C4	circle	Type: gene<br>FC: 1.93<br>Function: Maturase-like protein<br>	UP
YAL063C-A	#76D7C4	circle	Type: gene<br>FC: 2.06<br>Function: Putative protein of unknown function<br>	UP
SSA1	#76D7C4	circle	Type: gene<br>FC: 2.08<br>Function: ATPase involved in protein folding and NLS-directed nuclear transport<br>	UP
SFC1	#76D7C4	circle	Type: gene<br>FC: 2.64<br>Function: Mitochondrial succinate-fumarate transporter<br>	UP
YJR096W	#76D7C4	circle	Type: gene<br>FC: 1.67<br>Function: Xylose and arabinose reductase<br>	UP
YOR365C	#76D7C4	circle	Type: gene<br>FC: 1.86<br>Function: Putative protein involved in sphingolipid biosynthesis<br>	UP
GAD1	#76D7C4	circle	Type: gene<br>FC: 2.54<br>Function: Glutamate decarboxylase<br>	UP
SUL1	#76D7C4	circle	Type: gene<br>FC: 1.72<br>Function: High affinity sulfate permease of the SulP anion transporter family<br>	UP
HXK1	#76D7C4	circle	Type: gene<br>FC: 2.82<br>Function: Hexokinase isoenzyme 1<br>	UP
PHO89	#76D7C4	circle	Type: gene<br>FC: 2.52<br>Function: Plasma membrane Na+/Pi cotransporter<br>	UP
YHL012W	#76D7C4	circle	Type: gene<br>FC: 1.96<br>Function: Putative UTP glucose-1-phosphate uridylyltransferase<br>	UP
HXT10	#76D7C4	circle	Type: gene<br>FC: 1.68<br>Function: Hexose transporter<br>	UP
YPS3	#76D7C4	circle	Type: gene<br>FC: 1.62<br>Function: Aspartic protease<br>	UP
OPT2	#76D7C4	circle	Type: gene<br>FC: 2.03<br>Function: Oligopeptide transporter<br>	UP
GAT4	#76D7C4	circle	Type: gene<br>FC: 1.98<br>Function: Protein containing GATA family zinc finger motifs<br>	UP
YPR195C	#76D7C4	circle	Type: gene<br>FC: 2.28<br>Function: Putative protein of unknown function<br>	UP
HSP12	#76D7C4	circle	Type: gene<br>FC: 7.14<br>Function: Plasma membrane protein involved in maintaining membrane organization<br>	UP
HSP10	#76D7C4	circle	Type: gene<br>FC: 1.86<br>Function: Mitochondrial matrix co-chaperonin<br>	UP
YFL012W	#76D7C4	circle	Type: gene<br>FC: 2.54<br>Function: Putative protein of unknown function<br>	UP
PCH2	#76D7C4	circle	Type: gene<br>FC: 3.4<br>Function: Hexameric ring ATPase that remodels chromosome axis protein Hop1p<br>	UP
REC114	#76D7C4	circle	Type: gene<br>FC: 1.74<br>Function: Protein involved in early stages of meiotic recombination<br>	UP
STI1	#76D7C4	circle	Type: gene<br>FC: 1.63<br>Function: Evolutionarily-conserved Hsp90 cochaperone<br>	UP
SPG1	#76D7C4	circle	Type: gene<br>FC: 1.45<br>Function: Protein required for high temperature survival during stationary phase<br>	UP
YPT53	#76D7C4	circle	Type: gene<br>FC: 2.2<br>Function: Stress-induced Rab family GTPase<br>	UP
YCL048W-A	#76D7C4	circle	Type: gene<br>FC: 4.24<br>Function: Putative protein of unknown function<br>	UP
YER121W	#76D7C4	circle	Type: gene<br>FC: 1.89<br>Function: Putative protein of unknown function<br>	UP
SPO74	#76D7C4	circle	Type: gene<br>FC: 2.47<br>Function: Component of the meiotic outer plaque of the spindle pole body<br>	UP
MEK1	#76D7C4	circle	Type: gene<br>FC: 2.78<br>Function: Meiosis-specific serine/threonine protein kinase<br>	UP
YCR007C	#76D7C4	circle	Type: gene<br>FC: 1.94<br>Function: Putative integral membrane protein<br>	UP
DAL80	#76D7C4	circle	Type: gene<br>FC: 2.84<br>Function: Negative regulator of genes in multiple nitrogen degradation pathways<br>	UP
SET6	#76D7C4	circle	Type: gene<br>FC: 1.49<br>Function: SET domain protein of unknown function<br>	UP
RCR1	#76D7C4	circle	Type: gene<br>FC: 1.37<br>Function: Plasma membrane (PM) ubiquitin ligase-substrate adaptor<br>	UP
RIM4	#76D7C4	circle	Type: gene<br>FC: 2.34<br>Function: Putative RNA-binding protein<br>	UP
YPR078C	#76D7C4	circle	Type: gene<br>FC: 3.15<br>Function: Putative protein of unknown function<br>	UP
BNA2	#76D7C4	circle	Type: gene<br>FC: 3.59<br>Function: Tryptophan 2,3-dioxygenase or indoleamine 2,3-dioxygenase<br>	UP
GDB1	#76D7C4	circle	Type: gene<br>FC: 2.04<br>Function: Glycogen debranching enzyme<br>	UP
AMA1	#76D7C4	circle	Type: gene<br>FC: 1.94<br>Function: Activator of meiotic anaphase promoting complex (APC/C)<br>	UP
KNH1	#76D7C4	circle	Type: gene<br>FC: 1.62<br>Function: Protein with similarity to Kre9p<br>	UP
HSP78	#76D7C4	circle	Type: gene<br>FC: 2.09<br>Function: Oligomeric mitochondrial matrix chaperone<br>	UP
PUT1	#76D7C4	circle	Type: gene<br>FC: 1.56<br>Function: Proline oxidase<br>	UP
MND1	#76D7C4	circle	Type: gene<br>FC: 2.05<br>Function: Protein required for recombination and meiotic nuclear division<br>	UP
STR3	#76D7C4	circle	Type: gene<br>FC: 1.99<br>Function: Peroxisomal cystathionine beta-lyase<br>	UP
CLD1	#76D7C4	circle	Type: gene<br>FC: 2.64<br>Function: Mitochondrial cardiolipin-specific phospholipase<br>	UP
YIL060W	#76D7C4	circle	Type: gene<br>FC: 2.11<br>Function: Mitochondrial protein of unknown function<br>	UP
ATO2	#76D7C4	circle	Type: gene<br>FC: 1.75<br>Function: Putative transmembrane protein involved in export of ammonia<br>	UP
HSP31	#76D7C4	circle	Type: gene<br>FC: 1.99<br>Function: Methylglyoxalase that converts methylglyoxal to D-lactate<br>	UP
IRC15	#76D7C4	circle	Type: gene<br>FC: 3.17<br>Function: Microtubule associated protein<br>	UP
DDR2	#76D7C4	circle	Type: gene<br>FC: 4.59<br>Function: Multi-stress response protein<br>	UP
TPO2	#76D7C4	circle	Type: gene<br>FC: 2.58<br>Function: Polyamine transporter of the major facilitator superfamily<br>	UP
RNP1	#76D7C4	circle	Type: gene<br>FC: 3.52<br>Function: Ribonucleoprotein that contains two RNA recognition motifs (RRM)<br>	UP
SLZ1	#76D7C4	circle	Type: gene<br>FC: 2.17<br>Function: Sporulation-specific protein with a leucine zipper motif<br>	UP
YNL194C	#76D7C4	circle	Type: gene<br>FC: 4.05<br>Function: Integral membrane protein<br>	UP
YLR031W	#76D7C4	circle	Type: gene<br>FC: 2.24<br>Function: Putative protein of unknown function<br>	UP
HSP30	#76D7C4	circle	Type: gene<br>FC: 2.69<br>Function: Negative regulator of the H(+)-ATPase Pma1p<br>	UP
YLR030W	#76D7C4	circle	Type: gene<br>FC: 2.49<br>Function: Putative protein of unknown function<br>	UP
VBA5	#76D7C4	circle	Type: gene<br>FC: 2.47<br>Function: Plasma membrane protein of the Major Facilitator Superfamily (MFS)<br>	UP
GCY1	#76D7C4	circle	Type: gene<br>FC: 1.72<br>Function: Glycerol dehydrogenase<br>	UP
YHR139C-A	#76D7C4	circle	Type: gene<br>FC: 2.16<br>Function: Putative protein of unknown function<br>	UP
AMS1	#76D7C4	circle	Type: gene<br>FC: 2.43<br>Function: Vacuolar alpha mannosidase<br>	UP
HXT8	#76D7C4	circle	Type: gene<br>FC: 1.3<br>Function: Protein of unknown function with similarity to hexose transporters<br>	UP
CMK2	#76D7C4	circle	Type: gene<br>FC: 1.06<br>Function: Calmodulin-dependent protein kinase<br>	UP
RCK1	#76D7C4	circle	Type: gene<br>FC: 1.5<br>Function: Protein kinase involved in oxidative stress response<br>	UP
ERR3	#76D7C4	circle	Type: gene<br>FC: 0.84<br>Function: Enolase, a phosphopyruvate hydratase<br>	UP
GRE3	#76D7C4	circle	Type: gene<br>FC: 2.09<br>Function: Aldose reductase<br>	UP
TKL2	#76D7C4	circle	Type: gene<br>FC: 2.75<br>Function: Transketolase<br>	UP
SMA2	#76D7C4	circle	Type: gene<br>FC: 3.39<br>Function: Meiosis-specific prospore membrane protein<br>	UP
YGR066C	#76D7C4	circle	Type: gene<br>FC: 2.41<br>Function: Recognition component (N-recognin) of the Pro/N-degron pathway<br>	UP
SOR1	#76D7C4	circle	Type: gene<br>FC: 1.66<br>Function: Sorbitol dehydrogenase<br>	UP
FBP1	#76D7C4	circle	Type: gene<br>FC: 1.34<br>Function: Fructose-1,6-bisphosphatase<br>	UP
INH1	#76D7C4	circle	Type: gene<br>FC: 2.09<br>Function: Protein that inhibits ATP hydrolysis by the F1F0-ATP synthase<br>	UP
YOR289W	#76D7C4	circle	Type: gene<br>FC: 1.78<br>Function: Putative protein of unknown function<br>	UP
PDC6	#76D7C4	circle	Type: gene<br>FC: 3.23<br>Function: Minor isoform of pyruvate decarboxylase<br>	UP
TFS1	#76D7C4	circle	Type: gene<br>FC: 2.83<br>Function: Inhibitor of carboxypeptidase Y (Prc1p), and Ras GAP (Ira2p)<br>	UP
YGR146C-A	#76D7C4	circle	Type: gene<br>FC: 1.93<br>Function: Putative protein of unknown function<br>	UP
IRC4	#76D7C4	circle	Type: gene<br>FC: 1.49<br>Function: Protein similar to bacterial secreted DfsB proteins<br>	UP
YDL186W	#76D7C4	circle	Type: gene<br>FC: 1.24<br>Function: Putative protein of unknown function<br>	UP
YFL019C	#76D7C4	circle	Type: gene<br>FC: 1.59<br>Function: Putative protein of unknown function<br>	UP
IDH2	#76D7C4	circle	Type: gene<br>FC: 1.47<br>Function: Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase<br>	UP
UBI4	#76D7C4	circle	Type: gene<br>FC: 2.36<br>Function: Ubiquitin<br>	UP
BAG7	#76D7C4	circle	Type: gene<br>FC: 3.98<br>Function: Rho GTPase activating protein (RhoGAP)<br>	UP
MF(ALPHA)1	#76D7C4	circle	Type: gene<br>FC: 2.37<br>Function: Mating pheromone alpha-factor, made by alpha cells<br>	UP
UIP4	#76D7C4	circle	Type: gene<br>FC: 1.93<br>Function: Protein that interacts with Ulp1p<br>	UP
YLR012C	#76D7C4	circle	Type: gene<br>FC: 1.08<br>Function: Putative protein of unknown function<br>	UP
YMR196W	#76D7C4	circle	Type: gene<br>FC: 2.24<br>Function: Putative protein of unknown function<br>	UP
RRT6	#76D7C4	circle	Type: gene<br>FC: 1.82<br>Function: Integral membrane protein, member of the p24 family<br>	UP
CRG1	#76D7C4	circle	Type: gene<br>FC: 1.93<br>Function: S-AdoMet-dependent methyltransferase involved in lipid homeostasis<br>	UP
VID24	#76D7C4	circle	Type: gene<br>FC: 1.47<br>Function: GID Complex regulatory subunit<br>	UP
MOH1	#76D7C4	circle	Type: gene<br>FC: 3.45<br>Function: Protein of unknown function, essential for stationary phase survival<br>	UP
YBL048W	#76D7C4	circle	Type: gene<br>FC: 3.78<br>Function: Putative protein of unknown function<br>	UP
ZIP2	#76D7C4	circle	Type: gene<br>FC: 1.92<br>Function: Meiosis-specific protein<br>	UP
HOP2	#76D7C4	circle	Type: gene<br>FC: 1.41<br>Function: Meiosis-specific protein that localizes to chromosomes<br>	UP
SPO20	#76D7C4	circle	Type: gene<br>FC: 1.86<br>Function: Meiosis-specific subunit of the t-SNARE complex<br>	UP
NDE2	#76D7C4	circle	Type: gene<br>FC: 2.64<br>Function: Mitochondrial external NADH dehydrogenase<br>	UP
FMP16	#76D7C4	circle	Type: gene<br>FC: 2.54<br>Function: Protein of unknown function<br>	UP
DIT2	#76D7C4	circle	Type: gene<br>FC: 1.9<br>Function: N-formyltyrosine oxidase<br>	UP
RRT12	#76D7C4	circle	Type: gene<br>FC: 1.68<br>Function: Probable subtilisin-family protease<br>	UP
ECM13	#76D7C4	circle	Type: gene<br>FC: 1.32<br>Function: Non-essential protein of unknown function<br>	UP
RTC3	#76D7C4	circle	Type: gene<br>FC: 2.6<br>Function: Protein of unknown function involved in RNA metabolism<br>	UP
MCH2	#76D7C4	circle	Type: gene<br>FC: 2.26<br>Function: Protein with similarity to mammalian monocarboxylate permeases<br>	UP
OSW2	#76D7C4	circle	Type: gene<br>FC: 2.02<br>Function: Protein of unknown function reputedly involved in spore wall assembly<br>	UP
CRC1	#76D7C4	circle	Type: gene<br>FC: 2.9<br>Function: Mitochondrial inner membrane carnitine transporter<br>	UP
YLR053C	#76D7C4	circle	Type: gene<br>FC: 1.15<br>Function: Putative protein of unknown function<br>	UP
SIP18	#76D7C4	circle	Type: gene<br>FC: 2.12<br>Function: Phospholipid-binding hydrophilin<br>	UP
HSP104	#76D7C4	circle	Type: gene<br>FC: 2.84<br>Function: Disaggregase<br>	UP
YJL133C-A	#76D7C4	circle	Type: gene<br>FC: 1.82<br>Function: Putative mitochondrial protein of unknown function<br>	UP
THI5	#76D7C4	circle	Type: gene<br>FC: 1.85<br>Function: Protein involved in synthesis of the thiamine precursor HMP<br>	UP
HXT4	#76D7C4	circle	Type: gene<br>FC: 0.89<br>Function: High-affinity glucose transporter<br>	UP
YPR099C	#76D7C4	circle	Type: gene<br>FC: 1.84<br>Function: Mitochondrial protein of unknown function<br>	UP
NQM1	#76D7C4	circle	Type: gene<br>FC: 3.45<br>Function: Transaldolase of unknown function<br>	UP
HCH1	#76D7C4	circle	Type: gene<br>FC: 1.72<br>Function: Heat shock protein regulator<br>	UP
SRL4	#76D7C4	circle	Type: gene<br>FC: 3.2<br>Function: Protein of unknown function<br>	UP
POT1	#76D7C4	circle	Type: gene<br>FC: 0.97<br>Function: 3-ketoacyl-CoA thiolase with broad chain length specificity<br>	UP
SDH6	#76D7C4	circle	Type: gene<br>FC: 2.15<br>Function: Mitochondrial protein involved in assembly of succinate dehydrogenase<br>	UP
